sequence_id,n_frames,n_frames2
1000035562,23,23
1000106739,11,11
100015657,105,105
1000210073,12,12
1000240708,18,18
1000241583,30,30
1000255522,23,23
1000278229,57,57
100035691,49,49
100039661,19,19
1000397667,33,33
1000536928,13,13
1000638205,19,19
1000661926,141,141
1000697904,43,43
1000862366,23,23
1000909322,22,22
1000956928,100,100
1001145816,22,22
1001158776,13,13
1001223069,18,18
1001258102,13,13
1001284511,12,12
1001363076,21,21
100137027,26,26
1001373962,6,6
1001379621,14,14
1001385785,127,127
1001471195,17,17
1001490690,11,11
1001499433,6,6
1001560021,63,63
1001589428,6,6
1001611718,8,8
1001682966,7,7
1001685690,8,8
1001705639,7,7
1001819372,27,27
1001832755,6,6
1001896056,12,12
1001899025,44,44
100190623,6,6
1001911914,32,32
1001913464,15,15
1001919956,53,53
1001931356,225,225
1001950812,27,27
1001958254,24,24
1002003043,38,38
1002020383,60,60
1002052130,116,116
1002055891,16,16
1002091184,18,18
1002092995,6,6
1002113535,6,6
1002129762,23,23
1002160015,14,14
1002203166,12,12
100225301,48,48
1002284514,41,41
1002298936,24,24
100230619,20,20
1002340281,9,9
1002456370,59,59
1002526690,7,7
1002619089,68,68
1002643353,36,36
1002667538,24,24
1002711645,14,14
1002734054,6,6
1002776784,15,15
1002801453,7,7
1002825266,18,18
1002885072,125,125
100293231,11,11
1002976391,54,54
1003007869,62,62
1003023196,50,50
1003093029,23,23
1003109377,23,23
1003114245,6,6
1003256778,14,14
100328364,62,62
1003335907,14,14
1003347075,89,89
1003351443,24,24
1003370644,12,12
1003433922,6,6
1003483016,6,6
1003483410,8,8
1003498206,15,15
1003656851,33,33
1003700302,19,19
1003705747,63,63
100387913,14,14
100393298,60,60
1004012212,28,28
1004053083,5,5
1004160575,21,21
1004199462,6,6
1004200659,59,59
10042041,105,105
1004211348,163,163
1004212902,34,34
1004220316,37,37
1004220951,13,13
1004278047,6,6
1004285193,20,20
1004302418,34,34
1004317038,6,6
100438640,75,75
1004456612,43,43
1004515043,98,98
1004525587,7,7
1004578262,30,30
1004604376,161,161
100465528,61,61
1004659234,53,53
1004670955,10,10
1004717211,33,33
100475774,32,32
1004782423,24,24
1004789884,18,18
1004871290,10,10
1004940627,6,6
100496782,8,8
100498908,11,11
1005009451,25,25
1005029875,199,199
1005031823,55,55
1005052722,20,20
1005088445,8,8
1005102931,10,10
100515039,30,30
1005153432,12,12
1005189210,7,7
1005223850,15,15
1005394128,10,10
1005422610,16,16
1005467898,8,8
1005476876,9,9
1005492440,76,76
1005584284,21,21
1005687002,12,12
1005734995,6,6
1005826772,26,26
100585188,71,71
1005865446,58,58
1005866711,52,52
1005973605,15,15
1005995721,6,6
1006058791,14,14
1006073467,6,6
1006108133,17,17
1006174925,8,8
1006223282,27,27
1006264561,27,27
1006302094,12,12
1006402771,18,18
1006440534,3,3
1006443357,33,33
1006462059,100,100
100646867,14,14
1006488300,6,6
1006548504,20,20
1006554061,47,47
1006573792,11,11
1006584947,26,26
1006585242,45,45
1006625592,42,42
1006690809,14,14
1006698125,311,311
1006736862,12,12
1006742163,20,20
1006778422,36,36
1006899334,225,225
1006973536,42,42
1007054441,48,48
1007073382,76,76
1007127288,105,105
1007273104,3,3
100728423,15,15
1007285542,24,24
1007289801,116,116
1007294943,13,13
1007313467,19,19
1007343357,15,15
1007376023,39,39
1007439131,32,32
1007466376,45,45
1007470312,8,8
1007589714,12,12
1007595679,21,21
1007636570,8,8
1007714989,145,145
1007771619,27,27
1007844942,56,56
1007883975,25,25
1007921043,14,14
1007921584,6,6
1007956977,7,7
1007961507,8,8
1008067715,16,16
1008105275,37,37
10081088,44,44
1008185618,42,42
1008254374,16,16
100828468,22,22
1008318688,48,48
1008404042,8,8
1008408081,6,6
1008483043,6,6
1008533792,219,219
100856271,6,6
1008623492,9,9
1008630948,43,43
1008708679,108,108
1008787040,10,10
1008843441,10,10
100885486,24,24
1008866094,34,34
1008868907,39,39
1008873903,17,17
1008888999,23,23
1008893190,18,18
1009015092,15,15
1009072101,24,24
1009073883,14,14
1009091529,6,6
1009110105,25,25
1009119274,30,30
1009169722,13,13
1009189193,21,21
1009252695,61,61
1009257874,6,6
1009349839,32,32
1009402941,34,34
1009479323,14,14
1009548198,20,20
1009580605,12,12
1009615872,20,20
1009635727,164,164
1009663684,10,10
1009680251,24,24
1009688574,9,9
1009709200,188,188
1009802736,21,21
1009896983,17,17
1009934063,18,18
1010007890,16,16
1010052861,17,17
1010097914,128,128
1010156369,14,14
101019962,23,23
1010235832,6,6
1010436789,6,6
1010447253,114,114
1010464507,19,19
1010528266,13,13
1010536015,14,14
1010611404,17,17
1010691183,27,27
1010756359,27,27
1010770134,24,24
1010783758,43,43
1010863103,12,12
1010879863,45,45
1010899155,86,86
1010997099,16,16
1011023647,16,16
1011073692,44,44
1011089379,53,53
1011131843,52,52
1011172246,6,6
1011181704,33,33
1011293231,29,29
1011337843,9,9
1011397240,6,6
1011428571,125,125
1011439533,25,25
1011551679,10,10
1011584461,130,130
101159897,6,6
1011655866,17,17
1011764636,44,44
1011866732,20,20
1011888729,13,13
1011932931,100,100
1011951727,27,27
1012007761,41,41
1012070725,6,6
1012095402,17,17
1012128245,14,14
1012332717,6,6
1012399145,20,20
1012413496,9,9
1012436204,21,21
101254820,6,6
1012549254,6,6
1012561303,33,33
1012598310,17,17
1012711038,71,71
1012730846,38,38
1012790943,8,8
1012792793,53,53
1012855793,18,18
1012858295,22,22
1012920213,10,10
101294429,52,52
1012950600,26,26
1013049724,15,15
1013086398,6,6
1013089308,10,10
1013176670,17,17
1013221310,6,6
1013245879,56,56
1013307113,6,6
1013323013,14,14
1013326498,20,20
1013367191,25,25
1013423308,74,74
1013495928,14,14
1013540347,27,27
1013541116,12,12
1013580084,13,13
1013591180,36,36
1013612636,12,12
1013626252,16,16
1013644801,61,61
1013671116,18,18
1013684724,27,27
1013692040,223,223
1013743455,196,196
1013743606,27,27
1013799623,23,23
1013826473,7,7
1013853098,20,20
1013862460,84,84
1013865959,70,70
1013877443,11,11
1013935760,7,7
1013950926,26,26
1013992984,48,48
1014054229,6,6
1014090586,28,28
1014113250,52,52
1014155374,16,16
1014158300,46,46
1014165416,60,60
1014218227,21,21
1014231677,33,33
1014309332,14,14
1014380301,27,27
1014384002,11,11
1014406304,18,18
1014407590,53,53
1014413603,16,16
1014444319,23,23
1014492439,28,28
1014607730,26,26
1014701040,117,117
1014726001,34,34
101474393,13,13
1014762780,205,205
101481172,22,22
1014819003,29,29
1014838286,45,45
1014894603,13,13
1014909824,27,27
1015001652,42,42
1015074417,16,16
1015121761,14,14
1015213362,20,20
1015218913,130,130
1015291697,11,11
1015310004,15,15
1015341138,6,6
101535055,29,29
1015365954,6,6
1015378275,9,9
1015381165,23,23
1015438209,19,19
1015524947,35,35
1015554989,28,28
1015703209,99,99
1015836290,35,35
1015872038,21,21
1015898752,18,18
1015971577,103,103
101597212,52,52
1015991015,36,36
1016094606,27,27
1016095044,14,14
101609823,27,27
101610040,33,33
1016122489,7,7
1016131365,18,18
1016178453,23,23
1016188683,6,6
101620264,40,40
1016231410,12,12
1016337310,52,52
1016351470,166,166
1016357067,27,27
1016391462,195,195
101647228,11,11
101652313,26,26
101661345,9,9
1016658799,45,45
1016693705,24,24
1016715012,35,35
1016730489,97,97
1016834986,42,42
1016844567,7,7
1016860110,16,16
1016885494,14,14
1016946023,152,152
101697989,23,23
1017029978,6,6
1017084612,68,68
1017105712,18,18
101711203,56,56
1017166074,38,38
1017341203,45,45
1017350755,11,11
1017428007,16,16
1017502021,21,21
1017601410,12,12
1017647108,19,19
1017658305,79,79
1017741837,21,21
1017765987,6,6
1017786464,32,32
1017846424,11,11
1017929124,14,14
1017994904,116,116
1018058233,17,17
1018108815,14,14
1018275085,19,19
1018347883,212,212
1018357229,18,18
1018515735,37,37
1018546863,15,15
101857536,18,18
1018622731,14,14
1018622870,121,121
1018632617,13,13
1018651515,40,40
101865528,128,128
1018737451,5,5
1018744120,41,41
1019060027,51,51
101907510,36,36
1019148599,115,115
1019224704,23,23
1019274093,17,17
1019292479,17,17
101940165,109,109
1019494452,14,14
1019501034,80,80
1019518672,11,11
1019520915,38,38
1019555958,56,56
1019569080,108,108
1019604830,8,8
1019642247,17,17
1019705591,26,26
1019707437,6,6
1019710754,133,133
1019716343,21,21
1019811096,12,12
1019877891,38,38
101990054,11,11
1019972081,43,43
1020065367,7,7
102010923,65,65
1020163368,55,55
1020175204,22,22
102024546,6,6
1020308865,45,45
1020325960,28,28
1020380433,16,16
102039350,16,16
1020396165,16,16
1020431771,14,14
1020492846,31,31
1020513347,232,232
1020522023,10,10
1020571089,44,44
1020636691,76,76
1020690251,23,23
1020752524,41,41
1020804612,87,87
1020848799,7,7
1020928630,13,13
1020960313,16,16
1020961825,86,86
1021102195,139,139
102114016,25,25
1021141589,7,7
1021205595,48,48
1021210160,30,30
1021210853,16,16
1021266562,89,89
1021288255,8,8
1021381332,17,17
1021439238,101,101
1021460879,18,18
10214767,6,6
1021547319,6,6
1021561409,77,77
1021570461,13,13
1021572113,39,39
1021619518,6,6
1021653641,33,33
1021810345,11,11
1021884782,44,44
1021900105,115,115
1021901003,61,61
1021976057,19,19
1021999395,39,39
1022004947,9,9
1022015590,67,67
1022069907,15,15
102207132,136,136
102212493,10,10
1022152273,11,11
1022159277,23,23
1022238114,75,75
1022298930,15,15
1022310546,196,196
1022328281,36,36
1022328820,34,34
1022485264,7,7
1022563534,22,22
1022664925,18,18
1022718935,119,119
1022731463,24,24
1022797132,114,114
1022861015,24,24
1022982616,19,19
1023019419,9,9
1023028670,29,29
1023066801,15,15
1023083089,6,6
1023107599,92,92
1023157153,62,62
1023170909,73,73
1023203267,13,13
1023256181,24,24
1023273722,10,10
1023362520,13,13
1023378172,41,41
1023395451,253,253
1023415835,50,50
1023536143,179,179
1023585966,195,195
1023609524,8,8
1023658142,25,25
1023675829,6,6
1023708942,6,6
1023886398,29,29
1023892194,40,40
1023910448,18,18
1023919338,44,44
1023936310,54,54
1023994830,6,6
1024010450,12,12
1024138460,10,10
1024145381,23,23
102425033,68,68
102431712,93,93
1024384339,22,22
1024394310,112,112
102447911,34,34
1024506547,10,10
1024548724,127,127
1024551261,140,140
1024581616,55,55
1024673535,6,6
1024693162,37,37
1024708488,6,6
1024817462,17,17
1024902370,151,151
1024910426,25,25
1024964075,14,14
1024967173,14,14
1024971670,121,121
1024980485,37,37
1024991396,48,48
102499449,31,31
1024994942,174,174
1025015505,179,179
102503366,6,6
1025039170,34,34
1025080466,33,33
1025094898,16,16
102509982,6,6
1025116466,14,14
1025172316,19,19
1025214855,16,16
1025236508,8,8
1025250464,10,10
1025265392,43,43
1025280596,43,43
1025291620,26,26
1025406501,26,26
1025416543,12,12
1025455481,6,6
1025510427,6,6
1025518360,65,65
102553682,188,188
1025568842,13,13
1025591075,42,42
1025699944,14,14
1025799820,11,11
1025808828,24,24
1025956662,44,44
1025979528,32,32
1025998316,88,88
1026021808,6,6
1026057418,122,122
1026057601,9,9
1026135136,10,10
1026138898,76,76
1026300846,148,148
1026329560,28,28
1026329748,17,17
1026387183,12,12
1026423099,189,189
1026522211,48,48
1026526321,150,150
1026529150,124,124
1026568164,60,60
1026575350,58,58
1026602539,25,25
1026623580,26,26
1026681929,6,6
1026705487,71,71
1026739773,19,19
1026803361,26,26
1026810748,34,34
1026867327,6,6
1027052313,53,53
1027079546,25,25
1027101383,22,22
1027111435,15,15
102726767,64,64
1027379643,106,106
1027391960,13,13
1027422830,39,39
1027446039,10,10
1027470238,45,45
1027509344,24,24
1027533264,24,24
1027536161,18,18
1027576970,18,18
1027594446,6,6
1027648215,22,22
1027749514,14,14
1027765565,21,21
1027856890,125,125
1027864024,40,40
1027900681,18,18
1027923845,15,15
1027979942,42,42
1028144547,34,34
1028173090,35,35
1028182634,6,6
1028243957,70,70
1028248004,23,23
1028255234,32,32
1028374583,24,24
1028412735,160,160
102844340,19,19
1028459881,8,8
102847810,22,22
1028534474,22,22
1028583838,118,118
1028627065,25,25
1028641963,82,82
1028680354,15,15
1028759074,29,29
1028804567,24,24
102890097,10,10
1028905328,45,45
1028981073,15,15
1029012874,60,60
1029056550,23,23
1029081818,46,46
1029270291,136,136
1029286746,6,6
10293515,25,25
1029445326,17,17
1029531333,23,23
1029561256,6,6
1029613352,6,6
1029617697,26,26
1029620954,72,72
1029641741,6,6
1029642842,11,11
1029646763,60,60
1029676177,11,11
1029689790,166,166
1029829062,31,31
1029866550,17,17
1029897245,47,47
102996030,40,40
1030041990,98,98
1030054976,92,92
1030121388,45,45
1030208864,96,96
1030256097,14,14
1030261032,29,29
1030274639,26,26
1030305601,22,22
1030332744,23,23
10303548,32,32
1030388949,16,16
1030406748,125,125
1030417467,217,217
1030434653,20,20
1030593330,92,92
1030613243,7,7
1030724797,129,129
1030751383,12,12
1030772350,25,25
1030798091,7,7
1030812013,35,35
1030853086,78,78
1030910923,59,59
1030989750,53,53
1030999521,13,13
1031010390,14,14
1031015086,131,131
1031058936,25,25
103107391,7,7
1031139337,11,11
1031198503,26,26
1031264647,24,24
1031339979,253,253
103135457,17,17
1031535584,55,55
103159994,11,11
1031646687,68,68
1031655325,104,104
1031658415,56,56
1031687331,58,58
1031693648,17,17
1031724967,151,151
1031804325,18,18
1031866471,6,6
1031886162,6,6
1031918144,20,20
1031966450,32,32
1031993453,14,14
1032050962,9,9
1032052342,24,24
103207358,28,28
1032077953,33,33
1032234141,28,28
1032250678,6,6
1032349681,57,57
1032494807,6,6
1032529539,17,17
103254964,143,143
1032553268,103,103
1032597281,27,27
1032653915,6,6
1032732873,22,22
